,id_Kreise,Kreise,Count
0,1,Kreis 1,13
1,2,Kreis 2,80
2,3,Kreis 3,95
3,4,Kreis 4,36
4,5,Kreis 5,15
5,6,Kreis 6,50
6,7,Kreis 7,118
7,8,Kreis 8,41
8,9,Kreis 9,124
9,10,Kreis 10,95
10,11,Kreis 11,108
11,12,Kreis 12,65
