,Kreise,Count,id_Kreis
0,Kreis 1,239,1
1,Kreis 2,180,2
2,Kreis 3,180,3
3,Kreis 4,180,4
4,Kreis 5,120,5
5,Kreis 6,120,6
6,Kreis 7,240,7
7,Kreis 8,180,8
8,Kreis 9,120,9
9,Kreis 10,120,10
10,Kreis 11,180,11
11,Kreis 12,180,12
