,address,name,rating,users_rating_num,lat,lng,name_s
44,"Mühlackerstrasse 199, 8046 Zürich, Switzerland",Coop Supermarkt Zürich Mühlackerstrasse,4.2,221,47.4255113,8.4969846,coop
45,"Wehntalerstrasse 549, 8046 Zürich, Switzerland",Coop Supermarkt Zürich Wehntalerstrasse,4.0,205,47.4189272,8.5056214,coop
46,"Zürichbergstrasse 75, 8044 Zürich, Switzerland",Coop Supermarkt Zürich Fluntern,3.9,164,47.3764154,8.5595936,coop
47,"Gutstrasse 159, 8047 Zürich, Switzerland",Coop Supermarkt Zürich Gutstrasse,3.9,212,47.3737036,8.502472599999999,coop
48,"Alte Kalchbühlstrasse 15, 8038 Zürich, Switzerland",Coop Supermarkt Zürich Wollishofen,4.3,596,47.3398626,8.530491099999999,coop
49,"Milchbuckstrasse 1/5, 8057 Zürich, Switzerland",Coop Supermarkt Zürich Milchbuck,3.8,403,47.3954544,8.540429699999999,coop
50,"Andreasstrasse 5, 8050 Zürich, Switzerland",Coop Supermarkt Zürich Andreasturm,4.4,108,47.41290499999999,8.5473555,coop
51,"Saatlenstrasse 12, 8051 Zürich, Switzerland",Coop Supermarkt Zürich Schwamendingen,3.9,558,47.4048761,8.571610999999999,coop
52,"Seestrasse 339, 8038 Zürich, Switzerland",Coop Supermarkt Zürich Wollishofen Seestr.,4.1,167,47.3471884,8.533073,coop
53,"Friesenbergpl. 3, 8045 Zürich, Switzerland",Coop Supermarkt Zürich Zentrum Friesenberg,4.0,86,47.3607817,8.5065929,coop
54,"Maschinenstrasse 10, 8005 Zürich, Switzerland",Coop Supermarkt Pfingstweidstrasse Prime 2,4.4,73,47.3873719,8.5173322,coop
55,"Kalanderpl. 1, 8045 Zürich, Switzerland",Coop Supermarkt Zürich Sihlcity Supermarkt,4.4,756,47.3576232,8.5231751,coop
56,"Wallisellenstrasse 1, 8050 Zürich, Switzerland",Coop City Zürich Oerlikon Food,4.3,995,47.4103751,8.5466839,coop
57,"Hardstrasse 221, 8005 Zürich, Switzerland",Coop Pronto Shop Zürich Prime Tower,4.0,152,47.3863975,8.517684299999999,coop
58,"Löwenstrasse 7, 8001 Zürich, Switzerland",Coop Pronto Shop Zürich Löwenstrasse,4.1,84,47.3733678,8.534488,coop
59,"Seefeldstrasse 199, 8008 Zürich, Switzerland",Coop Supermarkt Zürich Tiefenbrunnen,3.9,190,47.3533693,8.559115,coop
0,"Baslerstrasse 50, 8048 Zürich, Switzerland",Denner Discount,4.0,33,47.38592480000001,8.499636299999999,Denner
1,"Birmensdorferstrasse 320, 8055 Zürich, Switzerland",Denner Discount,4.1,104,47.3700753,8.5087137,Denner
2,"Einkaufszentrum, Regensdorferstrasse 16, 8049 Zürich, Switzerland",Denner Discount,4.4,39,47.4032859,8.4982778,Denner
3,"Fierzgasse 18, 8005 Zürich, Switzerland",Denner Discount,4.2,109,47.3841413,8.5317431,Denner
4,"Hofwiesenstrasse 135, 8057 Zürich, Switzerland",Denner Express,3.9,194,47.3990363,8.5325958,Denner
5,"Hofwiesenstrasse 350, 8050 Zürich, Switzerland",Denner Discount,4.1,50,47.4103609,8.5434623,Denner
6,"Hohlstrasse 610, 8048 Zürich, Switzerland",Denner Discount,4.3,116,47.3919089,8.484853,Denner
7,"Josefstrasse 92, 8005 Zürich, Switzerland",Denner Express,4.1,274,47.383201,8.5309636,Denner
8,"Landenbergstrasse 22, 8037 Zürich, Switzerland",Denner Express,4.2,85,47.3927776,8.528612899999999,Denner
9,"Limmatstrasse 152, 8005 Zürich, Switzerland",Denner Discount,4.4,146,47.3857949,8.5319332,Denner
10,"Limmatstrasse 275, 8005 Zürich, Switzerland",Denner Discount,4.1,9,47.3887665,8.5250706,Denner
